[2025-10-14T23:12:17.170+0530][0.022s][info][gc,init] CardTable entry size: 512
[2025-10-14T23:12:17.171+0530][0.023s][info][gc     ] Using G1
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Version: 23.0.2+7-58 (release)
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] CPUs: 12 total, 12 available
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Memory: 15693M
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Large Page Support: Disabled
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] NUMA Support: Disabled
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Compressed Oops: Enabled (32-bit)
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Heap Region Size: 1M
[2025-10-14T23:12:17.178+0530][0.030s][info][gc,init] Heap Min Capacity: 512M
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Heap Initial Capacity: 512M
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Heap Max Capacity: 512M
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Pre-touch: Disabled
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Parallel Workers: 10
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Concurrent Workers: 3
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Concurrent Refinement Workers: 10
[2025-10-14T23:12:17.178+0530][0.031s][info][gc,init] Periodic GC: Disabled
[2025-10-14T23:12:17.195+0530][0.047s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001fd9e000000-0x000001fd9ed70000-0x000001fd9ed70000), size 14090240, SharedBaseAddress: 0x000001fd9e000000, ArchiveRelocationMode: 1.
[2025-10-14T23:12:17.195+0530][0.047s][info][gc,metaspace] Compressed class space mapped at: 0x000001fd9f000000-0x000001fddf000000, reserved size: 1073741824
[2025-10-14T23:12:17.195+0530][0.047s][info][gc,metaspace] Narrow klass base: 0x000001fd9e000000, Narrow klass shift: 0, Narrow klass range: 0x41000000
[2025-10-14T23:12:17.416+0530][0.268s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:17.416+0530][0.269s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.26ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.09ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 5.12ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.50ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,phases   ] GC(0)   Other: 0.93ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,heap     ] GC(0) Eden regions: 25->0(29)
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,heap     ] GC(0) Survivor regions: 0->1(4)
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,heap     ] GC(0) Old regions: 0->0
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,metaspace] GC(0) Metaspace: 285K(448K)->285K(448K) NonClass: 271K(320K)->271K(320K) Class: 14K(128K)->14K(128K)
[2025-10-14T23:12:17.423+0530][0.276s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->0M(512M) 7.997ms
[2025-10-14T23:12:17.423+0530][0.276s][info][gc,cpu      ] GC(0) User=0.09s Sys=0.02s Real=0.01s
[2025-10-14T23:12:17.491+0530][0.344s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:17.491+0530][0.344s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.15ms
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.19ms
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 1.83ms
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.49ms
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,phases   ] GC(1)   Other: 0.12ms
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,heap     ] GC(1) Eden regions: 29->0(61)
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,heap     ] GC(1) Survivor regions: 1->1(4)
[2025-10-14T23:12:17.494+0530][0.347s][info][gc,heap     ] GC(1) Old regions: 0->0
